y_pred,y_true,binary_decision_tree_sentiment
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,1,-1
1,-1,1
1,1,1
1,1,1
-1,1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,-1,1
1,-1,1
1,1,1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,1,-1
-1,-1,-1
-1,1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,1,-1
1,1,1
-1,-1,-1
1,1,1
1,-1,1
1,1,1
-1,1,-1
1,1,1
-1,-1,-1
-1,1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
-1,-1,-1
1,-1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,-1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,-1,1
-1,-1,-1
-1,1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,-1,1
1,-1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,-1,-1
1,1,1
-1,1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,-1,1
-1,-1,-1
1,-1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
1,1,1
-1,-1,-1
1,1,1
1,-1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,1,-1
-1,1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,-1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
-1,-1,-1
1,-1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,-1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,1,-1
1,1,1
-1,-1,-1
1,1,1
-1,1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
1,1,1
1,1,1
1,-1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,-1,1
1,1,1
1,-1,1
-1,-1,-1
-1,1,-1
-1,1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,1,-1
1,-1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,-1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,-1,1
1,-1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
1,1,1
1,1,1
-1,1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,1,-1
1,1,1
-1,1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,1,-1
1,1,1
-1,-1,-1
1,-1,1
-1,1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,-1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,-1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,-1,1
-1,1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,1,-1
1,1,1
1,1,1
1,1,1
1,1,1
1,-1,1
1,1,1
1,1,1
1,1,1
1,1,1
-1,1,-1
1,1,1
1,1,1
-1,-1,-1
-1,1,-1
1,-1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,1,-1
1,1,1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,-1,1
-1,-1,-1
1,1,1
1,-1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,-1,1
1,1,1
1,1,1
-1,-1,-1
-1,1,-1
1,-1,1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,1,-1
1,1,1
-1,-1,-1
-1,1,-1
-1,-1,-1
1,1,1
1,1,1
1,-1,1
-1,-1,-1
-1,1,-1
1,1,1
-1,1,-1
1,-1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,1,-1
1,-1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,-1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,-1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,-1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
1,-1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,1,-1
-1,1,-1
-1,1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,1,-1
1,1,1
1,1,1
-1,1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
1,-1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,1,-1
1,1,1
1,1,1
-1,-1,-1
1,-1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
1,-1,1
1,1,1
1,1,1
-1,1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,-1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
-1,1,-1
1,1,1
-1,-1,-1
-1,1,-1
-1,-1,-1
1,-1,1
1,-1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,1,-1
1,1,1
1,1,1
-1,1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,-1,1
1,1,1
1,-1,1
-1,1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,-1,1
-1,-1,-1
1,1,1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,-1,1
1,1,1
1,-1,1
1,1,1
1,1,1
-1,1,-1
1,-1,1
1,1,1
1,1,1
-1,1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,1,-1
1,-1,1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
1,1,1
1,-1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
-1,1,-1
-1,-1,-1
-1,-1,-1
-1,1,-1
1,1,1
1,1,1
-1,-1,-1
-1,1,-1
-1,1,-1
1,1,1
1,1,1
1,1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,1,-1
1,1,1
1,1,1
-1,-1,-1
-1,-1,-1
1,1,1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,1
